Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,78244063,G,44.254,2.91879,-14.1247,41.8376,14.4231,1.7865799999999998,-1.3670200000000001,-1,G,24.5915,-0.443938,-9.59867,22.6363,9.60893,1.59228,-1.61701,1,3.7300699999999996
165617,80519338,G,12.2029,0.11488599999999999,-9.39904,-7.78096,9.39974,-0.754217,-1.55857,1,G,13.2858,1.93133,-12.0152,-5.32996,12.1694,-0.42506499999999997,-1.4114200000000001,-1,3.8759099999999997
165617,80423154,G,10.0546,-1.02294,1.8506200000000002,-9.82915,2.11452,-2.2410400000000004,2.07575,1,G,6.893739999999999,1.6267399999999999,-0.877685,-6.64048,1.8484099999999999,-1.9908299999999999,-0.49477299999999996,-1,3.8322199999999995
165617,80634997,G,50.9026,0.8838159999999999,-15.4196,-48.5028,15.4449,-1.8619299999999999,-1.5135399999999999,1,T,8.01626,-0.845512,-1.35669,-7.854539999999999,1.59859,-2.2953099999999997,-2.12811,-1,3.72035
165617,81342345,G,19.8976,10.3023,10.1497,13.6657,14.4621,0.841891,0.77794,1,G,12.3031,3.83529,7.2283800000000005,9.186760000000001,8.182839999999999,0.965521,1.0829799999999998,-1,3.5755800000000004
165617,83356460,G,9.01631,-6.79345,-5.919169999999999,0.308361,9.01042,0.034216,-2.42486,1,G,16.0419,-14.0226,-7.34115,-2.6088,15.828,-0.16408399999999998,-2.65931,-1,3.67125
165617,84291467,G,10.8085,-0.5571510000000001,3.4649099999999997,10.2223,3.5094199999999995,1.7905099999999998,1.73023,-1,G,6.85739,2.41038,2.48677,5.91766,3.4632300000000003,1.30523,0.8009970000000001,1,3.56745
165617,84922521,G,6.08256,2.62126,0.032141,5.48765,2.62146,1.48462,0.012261,-1,T,6.45277,-1.18585,0.1253,6.34075,1.19245,2.3728599999999997,3.03632,1,3.8907800000000003
165617,86952586,G,8.28012,8.25803,-0.305638,-0.5106970000000001,8.26368,-0.0617609,-0.0369942,1,G,7.0706,6.2506,-2.76112,1.81342,6.83328,0.262361,-0.41596000000000005,-1,3.7473199999999998
165617,88046056,G,15.8346,-6.4280800000000005,-1.96302,14.337,6.7211300000000005,1.50163,-2.84521,1,T,5.29411,-3.40162,0.810153,3.97355,3.4967699999999997,0.974578,2.90778,-1,3.63235
